"NAME","key","value"
"KNOX","PCTBLACK",30.58
"KOCH","PCTWHITE",95.29
"KRAMER","PCTWHITE",95.35
"KRUEGER","PCTWHITE",95.97
"LAM","PCTAPI",87.99
"LAMB","PCTWHITE",86.1
"LAMBERT","PCTWHITE",83.66
"LANDRY","PCTWHITE",82.97
"LANE","PCTWHITE",77.14
"LANG","PCTWHITE",81.36
"LARA","PCTHISPANIC",92.28
"LARSEN","PCTWHITE",94.16
"LARSON","PCTWHITE",94.79
"LAWRENCE","PCTWHITE",68.87
"LAWRENCE","PCTBLACK",24.65
"LAWSON","PCTWHITE",73.84
"LAWSON","PCTBLACK",20.74
"LE","PCTAPI",95.59
"LEACH","PCTWHITE",80.28
"LEAL","PCTHISPANIC",84.9
"LEBLANC","PCTWHITE",86.17
"LEE","PCTAPI",42.22
"LEE","PCTWHITE",35.95
"LEON","PCTHISPANIC",85.21
"LEONARD","PCTWHITE",80.38
"LESTER","PCTWHITE",75.78
"LEVY","PCTWHITE",79.16
"LEWIS","PCTWHITE",58.23
"LEWIS","PCTBLACK",34.84
"LI","PCTAPI",96.78
"LIM","PCTAPI",92.24
"LIN","PCTAPI",95.85
"LINDSEY","PCTWHITE",67.78
"LINDSEY","PCTBLACK",25.72
"LITTLE","PCTWHITE",70.11
"LITTLE","PCTBLACK",24.26
"LIU","PCTAPI",95.62
"LIVINGSTON","PCTWHITE",72.08
"LIVINGSTON","PCTBLACK",20.89
"LLOYD","PCTWHITE",72.59
"LLOYD","PCTBLACK",22.11
"LOGAN","PCTWHITE",64.8
"LOGAN","PCTBLACK",27.3
"LONG","PCTWHITE",79.88
"LOPEZ","PCTHISPANIC",92.92
"LOVE","PCTWHITE",56.49
"LOVE","PCTBLACK",37.03
"LOWE","PCTWHITE",73.04
"LOWERY","PCTWHITE",67.95
"LOWERY","PCTBLACK",22.96
"LOZANO","PCTHISPANIC",91.73
"LU","PCTAPI",95.74
"LUCAS","PCTWHITE",69.1
"LUCERO","PCTHISPANIC",82.41
"LUGO","PCTHISPANIC",91.21
"LUNA","PCTHISPANIC",88.78
"LYNCH","PCTWHITE",82.3
"LYNN","PCTWHITE",84.61
"LYONS","PCTWHITE",74.88
"MACDONALD","PCTWHITE",93.72
"MACIAS","PCTHISPANIC",94.14
"MACK","PCTBLACK",49.06
"MACK","PCTWHITE",44.76
"MADDEN","PCTWHITE",84.48
"MADDOX","PCTWHITE",69.75
"MADDOX","PCTBLACK",25.22
"MAGANA","PCTHISPANIC",94.9
"MAHONEY","PCTWHITE",91.1
"MALDONADO","PCTHISPANIC",93.71
"MALONE","PCTWHITE",67.31
"MALONE","PCTBLACK",26.77
